Price,Close,High,Low,Open,Volume
Ticker,PEP,PEP,PEP,PEP,PEP
Date,,,,,
2010-01-04,38.33393859863281,38.50920730730485,37.95835972423363,38.302638568206746,6585900
2010-01-05,38.797149658203125,38.87226447836354,38.12111150104521,38.18370678653605,8886000
2010-01-06,38.40904998779297,39.1038685749082,38.327674214096156,38.803406934939396,9998000
2010-01-07,38.16494369506836,38.42158828713303,37.88951859968128,38.40280778381062,10792000
2010-01-08,38.039730072021484,38.071027710120276,37.726748915320165,38.033469111687694,8674700
2010-01-11,37.99592208862305,38.064778341804036,37.62034317705149,37.98340255278493,6461200
2010-01-12,38.52798843383789,38.60936422117851,37.870728336966124,37.88324787254601,9081800
2010-01-13,38.84096145629883,39.02249110208102,38.44034595378416,38.44034595378416,7380100
2010-01-14,39.3104362487793,39.385551064369835,38.65943481270948,38.8221863656554,7211600
2010-01-15,38.99119186401367,39.3792878176706,38.696988821737136,39.19149960705316,8361200
2010-01-19,39.016239166259766,39.06631491866368,38.79089231079925,38.95364149093343,5615800
2010-01-20,38.77836227416992,38.90355520306196,38.459120186102396,38.8659966080374,5606000
2010-01-21,38.146156311035156,38.90983137361053,38.02096571337681,38.81593603750918,7121500
2010-01-22,37.80186462402344,38.33393403579312,37.75178887944491,38.02721144426879,7229000
2010-01-25,37.70171356201172,37.99591664239393,37.60782063847016,37.99591664239393,4903800
2010-01-26,37.7142333984375,37.88950210073924,37.44506938398441,37.620338086286154,5001700
2010-01-27,37.73928451538086,37.80187981822797,37.307368807019486,37.589052445546955,6145900
2010-01-28,37.39499282836914,37.870723176290284,37.24476080974003,37.74553022540885,9285900
2010-01-29,37.31988525390625,37.783098575322626,37.006903989879866,37.45759777419227,8127200
2010-02-01,37.99592208862305,38.02721973428969,37.25728618917534,37.51393070421346,7303200
2010-02-02,38.27760696411133,38.3589803680129,37.77057649095423,37.9834038316533,6296700
2010-02-03,38.36524200439453,38.43409826110409,37.9082896682444,38.133634161306475,4863000
2010-02-04,37.33238220214844,38.1398739478299,37.31986267261972,38.07727868804241,6920300
2010-02-05,37.251014709472656,37.426285773861046,36.90047735640914,37.251014709472656,7347800
2010-02-08,36.906734466552734,37.344908528380266,36.77528296436144,37.30734993295852,7047700
2010-02-09,37.58904266357422,37.85820669391491,37.11331227730761,37.11331227730761,7940200
2010-02-10,37.795616149902344,37.977143458840175,37.251027059516595,37.532710660085534,10917200
2010-02-11,38.302635192871094,38.62187732737073,37.87072203262336,38.10232743265271,14391100
2010-02-12,38.13361358642578,38.3214041444418,37.86445205483884,38.221250294499455,8566800
2010-02-16,38.37775802612305,38.4653923855976,37.87072759048955,38.20248691931672,6930800
2010-02-17,38.87851333618164,38.934850030727794,38.340185452264265,38.48415647435858,6703500
2010-02-18,39.14142990112305,39.26036429080046,38.79089246929193,38.79089246929193,6942900
2010-02-19,39.22280502319336,39.38555420124455,38.79715038785069,39.009977705522026,6416500
2010-02-22,39.066322326660156,39.35426452419122,38.872273078137425,39.24159107509514,4709500
2010-02-23,38.67194747924805,39.110121536786224,38.62187174036579,38.94737240059825,5159400
2010-02-24,38.85976028442383,38.90983605193651,38.54677897693146,38.79716259021063,6888100
2010-02-25,38.99745559692383,39.0224946650814,38.19622451873703,38.50294474616799,8074100
2010-02-26,39.1038703918457,39.178985208363855,38.75333060166606,39.122648499011,14785800
2010-03-01,39.70478820800781,39.79868350656126,39.1038649832643,39.216538386385785,9016500
2010-03-02,39.9364128112793,40.06160580699772,39.69854635820007,39.817480778668575,9527200
2010-03-03,40.333560943603516,40.51637769608062,40.22008714975202,40.23269561627097,8486300
2010-03-04,40.41550827026367,40.6613673157741,40.320945988997174,40.61723889246806,7830600
2010-03-05,40.579429626464844,40.64877500220147,40.28943965476445,40.53530118823599,8448600
2010-03-08,40.44072341918945,40.636148598137524,40.22007890755251,40.51636939316305,5086300
2010-03-09,40.573116302490234,40.75593545665331,40.22008646046695,40.27052032567845,7655400
2010-03-10,40.61724090576172,40.71810381704473,40.35247035280147,40.53528948974193,6450000
2010-03-11,40.95766830444336,40.97657980250238,40.2831309523877,40.47225074261623,7536900
2010-03-12,41.039608001708984,41.13417027461251,40.77483748528873,40.926134236152166,6896400
2010-03-15,41.70155334472656,41.77089871456353,41.2287466283683,41.4115658025168,10468000
2010-03-16,41.651119232177734,41.796115407260096,41.499822430520325,41.76459303583044,7474500
2010-03-17,41.9663200378418,41.972625473504024,41.61959322099231,41.70154945568665,6922300
2010-03-18,41.934783935546875,42.06717399290495,41.707841232050505,41.966306293896245,6961900
2010-03-19,41.96000289916992,42.224778217115116,41.770883168794036,41.96000289916992,10947400
2010-03-22,41.802406311035156,41.9600085122496,41.701543403269405,41.878057099087584,6763000
2010-03-23,42.149131774902344,42.23738862008377,41.75827659650078,41.85283887623441,6412800
2010-03-24,41.77089309692383,42.2373943142935,41.76458766152156,41.997840675025394,7661200
2010-03-25,41.95370101928711,42.237383011179155,41.82761639317321,41.84022726060295,6246600
2010-03-26,41.978912353515625,42.1176030348411,41.82131018103424,42.010434711866544,5313400
2010-03-29,41.95370101928711,42.15543161143265,41.79609884387226,41.991524002302924,6825600
2010-03-30,42.092403411865234,42.23739958638784,41.83393824376657,41.93480117460259,5733800
2010-03-31,41.707855224609375,42.054577234591115,41.644810486759766,42.03566573709152,8123900
2010-04-01,42.03565979003906,42.03565979003906,41.76458380840654,41.8087122328752,5074100
2010-04-05,41.594390869140625,42.03567527640084,41.49982855054506,42.03567527640084,6732600
2010-04-06,41.85285568237305,42.00415250491813,41.47461122119069,41.47461122119069,6734700
2010-04-07,41.60067367553711,41.934789556423766,41.44937691638107,41.85283814722201,8204200
2010-04-08,41.588077545166016,41.726768278186064,41.367435383378854,41.44938681214597,6646300
2010-04-09,41.833927154541016,41.87805557689156,41.518722763569265,41.56285118591982,4757700
2010-04-12,41.8087272644043,42.0293694660753,41.77090426115763,41.827638766027626,5074000
2010-04-13,41.85285568237305,41.92220106138105,41.61960260665161,41.70786429691212,5190800
2010-04-14,41.789817810058594,41.796123247455036,41.499830215136065,41.73307849276967,5202300
2010-04-15,41.777191162109375,41.922187309646475,41.48090305129475,41.58807139837479,5968500
2010-04-16,41.69523620605469,42.01674602964035,41.58176243359135,41.61328479635678,7374400
2010-04-19,41.682647705078125,41.85285603065283,41.4178722513718,41.65743076617089,6354600
2010-04-20,41.54396057128906,41.85916512067723,41.43048674112373,41.71416891171719,6780900
2010-04-21,41.594390869140625,41.80242219848369,41.36113779122348,41.493523113401544,6534300
2010-04-22,40.82527160644531,41.474591843196464,40.661363986313745,41.449374916281066,9689700
2010-04-23,40.79375457763672,40.88201142855836,40.45333323423714,40.88201142855836,9008900
2010-04-26,40.98918914794922,41.2539645708994,40.73072397104199,40.87571534086736,8096900
2010-04-27,40.491153717041016,41.102646128024695,40.39028601442302,40.9324378919028,8615300
2010-04-28,40.8189697265625,40.86309815009761,40.09399864593931,40.52267682155357,10229300
2010-04-29,41.102664947509766,41.291789571693734,40.869416695273735,40.945062697236125,7714000
2010-04-30,41.115272521972656,41.59438467106102,41.09005558679552,41.18461789130013,8274200
2010-05-03,41.41156005859375,41.60698526849799,40.90723104057495,41.15309011420867,5807900
2010-05-04,41.247642517089844,41.59436923505411,41.00808893626523,41.165691115405934,8383100
2010-05-05,41.102664947509766,41.57547169833069,40.98919113492719,41.03962500932811,7658800
2010-05-06,40.78744888305664,41.73306211660173,39.02861009632506,41.07744117382491,14046200
2010-05-07,40.70549774169922,41.00179065974705,40.13182580567861,40.636152386001314,13221500
2010-05-10,41.86547088623047,41.91589995920132,41.39266405844546,41.48092094819415,10833800
2010-05-11,41.95370101928711,42.237383011179155,41.6195803673128,41.70784201041088,7240800
2010-05-12,42.199581146240234,42.621954033408684,42.117624895843385,42.38870096559789,13170400
2010-05-13,41.90959167480469,42.28783610600474,41.89698080163598,42.25000829613751,7800500
2010-05-14,41.651119232177734,41.9852352069222,41.46199462287702,41.86546077669445,9731800
2010-05-17,42.079776763916016,42.21216200129783,41.65109869588318,41.676315618665846,6943800
2010-05-18,41.941097259521484,42.42651473545838,41.85914584588685,42.18695631006289,7237500
2010-05-19,41.63220977783203,41.846546523236725,41.29178835015501,41.79611745996664,7867800
2010-05-20,40.257911682128906,41.121573583930285,40.257911682128906,41.121573583930285,11587400
2010-05-21,40.08140563964844,40.11922864081435,39.17361513455448,39.8481525766343,14586400
2010-05-24,39.9174919128418,40.35247559899817,39.46359672896354,39.77249815239605,6334000
2010-05-25,39.64641571044922,39.66532720808561,38.86471001376944,39.04122373789343,9156900
2010-05-26,38.599937438964844,39.753586903606376,38.480160611277675,39.753586903606376,15152900
2010-05-27,39.6527214050293,39.67163290278912,38.78275643578994,39.066440926283114,9428400
2010-05-28,39.64641571044922,40.00574859445541,39.54555038168992,39.66532720808561,7546700
2010-06-01,39.564456939697266,40.08769742062261,39.02230736831546,39.50141701890042,7180000
2010-06-02,40.3140754699707,40.3140754699707,39.27859117690182,39.76774502543691,10023900
2010-06-03,40.25690460205078,40.43478116674609,40.02185628336995,40.339490063396696,6448400
2010-06-04,39.03084182739258,39.67881509270341,38.93555313809471,39.67881509270341,10309800
2010-06-07,39.2150764465332,39.74234982247584,38.935559519419726,38.98637967737033,7694100
2010-06-08,39.79950714111328,39.89479580562925,39.005422820048395,39.030831676574174,7538300
2010-06-09,39.69784927368164,40.066302997700745,39.596206616364086,39.93289746434997,7056300
2010-06-10,40.55547332763672,40.59359024631324,40.04090583059198,40.04090583059198,6567800
2010-06-11,40.37759017944336,40.37759017944336,39.9837227113703,40.33947326930172,5466100
2010-06-14,40.56182098388672,40.80322568863218,40.174309920184776,40.593586291365476,4941800
2010-06-15,40.80957794189453,40.84134325176223,40.555472426423265,40.58088370497626,6249100
2010-06-16,40.59994888305664,40.68888837536568,40.37760621066749,40.52371745585941,5960000
2010-06-17,40.9683952331543,41.012863759418124,40.49829869169307,40.63170427048453,5179300
2010-06-18,40.70793533325195,41.08274076526534,40.67617002521109,41.04462627298073,8947600
2010-06-21,40.669837951660156,41.15899681803232,40.491966186045495,41.00017988549479,5158800
2010-06-22,40.21243667602539,40.81594135189136,40.13620524620285,40.67618171108882,5978900
2010-06-23,39.85032653808594,40.161608652442794,39.58351537436833,40.161608652442794,6509700
2010-06-24,39.640689849853516,40.01549774229248,39.545398763011086,39.621630178473225,6185400
2010-06-25,38.60520553588867,39.697866390702615,38.60520553588867,39.697866390702615,22934200
2010-06-28,39.36117172241211,39.49457730904242,38.75131553494235,38.8275469525378,8532400
2010-06-29,38.897422790527344,39.24046776971357,38.68143177659744,39.04353400239863,9054500
2010-06-30,38.71955490112305,39.21506277937984,38.43368403930058,38.92919191755738,8760700
2010-07-01,39.08164596557617,39.17058300297742,38.31932469401151,38.833892097571976,10852500
2010-07-02,39.08800506591797,39.48187262613374,38.99271640330033,39.0943590974376,5987800
2010-07-06,39.157901763916016,39.316718693473334,38.71956791074526,39.22142998975136,6950100
2010-07-07,39.977394104003906,40.072685222503544,38.92284988358822,39.1324869515921,7296200
2010-07-08,40.6571159362793,40.6571159362793,39.96467433355542,40.15525407983614,6660800
2010-07-09,40.3394889831543,40.72700257214633,40.21243498987527,40.67618000549338,5020500
2010-07-12,40.49197006225586,40.49832167388959,40.05363373554465,40.18068777840811,4205300
2010-07-13,40.29501724243164,40.822290424406845,40.24419467982302,40.81593639240419,7312300
2010-07-14,40.37759017944336,40.46652721308811,40.05995653165358,40.16795080869295,5687500
2010-07-15,40.123497009277344,40.47289366533525,40.01550269262537,40.390310631431966,8124100
2010-07-16,39.67247009277344,40.35855797877426,39.5390644515169,40.053629760179,9510200
2010-07-19,39.41835403442383,39.71693058143564,39.386591139143626,39.634345115024246,5969400
2010-07-20,41.12086868286133,41.20980574788308,39.20235805920562,39.24047498279492,11243100
2010-07-21,40.62535858154297,41.27968577812967,40.44748202721826,41.15262936550253,8690200
2010-07-22,40.7905387878418,41.203463765751216,40.65713315129407,40.94935571421404,7032800
2010-07-23,40.9429817199707,41.13356387738988,40.68887863901926,40.68887863901926,5187700
2010-07-26,41.279693603515625,41.31145407766331,40.77783158359029,40.88582591976591,4029100
2010-07-27,41.73072052001953,41.79424629595017,41.10815628380482,41.48296660119583,6032200
2010-07-28,41.41944885253906,41.730733490752826,41.29239726118765,41.61638511985354,4321400
2010-07-29,41.222511291503906,41.66719664170188,41.10816293763774,41.50203056688938,5579600
2010-07-30,41.23521423339844,41.406734319533335,40.854049870065396,40.94298692905478,5337400
2010-08-02,41.46391296386719,41.59096938835047,41.216158994508554,41.59096938835047,6479700
2010-08-03,41.78153991699219,41.87683100808243,41.29238609123142,41.36226590158385,5577200
2010-08-04,42.035640716552734,42.14998903703962,41.52742972849301,41.74977233868823,6663800
2010-08-05,41.66084671020508,41.84507487962063,41.33050487307832,41.72437249528123,5143100
2010-08-06,41.86414337158203,41.908611917746434,41.37498451706551,41.37498451706551,5500700
